"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"TCOM",49,144.367346938776,97.4734352438206,131,322,9,"TCOM",22,0,-15.0204081632653,0,NA
"GEN",41,171.439024390244,92.0345176497622,166,352,7,"GEN",45.2380952380952,2.38095238095238,-14.9512195121951,0,NA
"BIM",12,184.833333333333,96.1294896890584,195.5,331,13,"BIM",84.6153846153846,0,-14.8333333333333,0,NA
"INFO",65,254.061538461538,146.854719549105,280,481,1,"INFO",10.6060606060606,10.6060606060606,-15.0307692307692,0,NA
"GE",65,270.876923076923,187.658308809881,260,583,2,"GE",16.6666666666667,1.51515151515152,-15.0307692307692,0,NA
"BB",12,335.25,160.99640029855,347,586,88,"BB",61.5384615384615,0,-14.9166666666667,0,NA
"GMC",68,339.617647058824,176.298511216254,322,621,39,"GMC",14.4927536231884,5.79710144927536,-15.0294117647059,0,NA
"GCU",66,346.212121212121,164.564368061349,372,641,23,"GCU",32.8358208955224,5.97014925373134,-15,0,NA
"GMD",42,359.071428571429,167.318652154758,380,602,16,"GMD",25.5813953488372,2.32558139534884,-15.0714285714286,0,NA
"GI",58,364,135.149819401324,360,581,83,"GI",30.5084745762712,22.0338983050847,-15.1551724137931,0,NA
"SGM",26,404.730769230769,159.732415668782,439.5,583,48,"SGM",62.962962962963,3.7037037037037,-15.0384615384615,0,NA
